year,sector_code,recipient_name,usd_disbursement,usd_disbursement_deflated
2018,151,"Bilateral, unspecified",1973.577875,2058.372625
2018,151,Cambodia,80.9891559999999,81.204147
2018,151,Togo,53.678627,55.211582
2018,151,Iraq,163.311796,169.79739
2018,151,Jordan,878.657564,1002.588725
2018,151,Sri Lanka,28.317452,31.241603
2018,151,Bangladesh,348.716794,360.71556
2018,151,India,71.8782140000001,73.4807119999999
2018,151,Indonesia,563.700374,572.203084
2018,151,Madagascar,79.62677,82.442932
2018,151,South Africa,50.713697,52.57178
2018,151,"South of Sahara, regional",269.222047,279.266092
2018,151,"Asia, regional",175.639953,178.874758
2018,151,Rwanda,62.644477,64.437438
2018,151,Ethiopia,270.373686,280.369087
2018,151,Egypt,69.076721,72.157035
2018,151,Gambia,17.380642,17.722918
2018,151,Nepal,276.71026,290.707747
2018,151,Venezuela,10.25463,11.534428
2018,151,Democratic Republic of the Congo,182.529534,192.474928
2018,151,Angola,17.528795,18.892175
2018,151,Burkina Faso,134.252234,138.242625
2018,151,Colombia,211.0253,235.901055
2018,151,Honduras,122.486616,134.991351
2018,151,Kyrgyzstan,52.467023,55.405049
2018,151,Brazil,37.567947,38.367561
2018,151,Somalia,164.258566,171.129496
2018,151,Tajikistan,27.1636,28.809425
2018,151,Costa Rica,6.660612,6.893868
2018,151,Viet Nam,205.008962,213.94612
2018,151,Yemen,111.861675,116.423851
2018,151,Mali,147.817489,154.380404
2018,151,Mauritania,24.579357,24.561771
2018,151,Comoros,6.586334,6.731792
2018,151,Djibouti,5.184963,5.308497
2018,151,Guatemala,103.104569,111.565709
2018,151,"Caribbean & Central America, regional",47.68301,49.121337
2018,151,Philippines,163.263036,162.817088
2018,151,Serbia,175.0059,176.078632
2018,151,Niger,137.867275,143.088994
2018,151,Ukraine,239.163385,253.436945
2018,151,"Middle East, regional",172.741466,174.923938
2018,151,Central African Republic,67.982073,69.381412
2018,151,Paraguay,18.247012,19.174102
2018,151,Benin,72.770013,74.21467
2018,151,Botswana,1.429471,1.460304
2018,151,Senegal,57.397834,58.057486
2018,151,Côte d'Ivoire,51.300277,53.379786
2018,151,Tanzania,246.574196,254.413799
2018,151,Mozambique,116.591268,120.74748
2018,151,Uzbekistan,18.017761,17.432026
2018,151,Nigeria,217.141925,226.051419
2018,151,Sudan,34.693668,35.850885
2018,151,Tunisia,148.841967,153.114805
2018,151,Cuba,24.294031,26.267499
2018,151,North Macedonia,51.283089,52.996797
2018,151,Guinea,59.560178,62.527764
2018,151,Cameroon,30.019089,30.715749
2018,151,Congo,10.530997,10.826842
2018,151,Mauritius,23.420303,23.136902
2018,151,Zambia,47.881347,49.30438
2018,151,Kosovo,164.235988,167.521485
2018,151,Belarus,29.954691,31.155937
2018,151,Mexico,236.576112,270.152371
2018,151,China (People's Republic of),39.27362,41.030049
2018,151,El Salvador,61.450084,66.458037
2018,151,Morocco,90.055017,91.443823
2018,151,Timor-Leste,32.453233,34.835983
2018,151,Uganda,122.534035,126.222047
2018,151,Haiti,79.812635,88.2587539999999
2018,151,Georgia,183.136957,183.570712
2018,151,Eritrea,7.123552,7.342083
2018,151,Peru,86.190634,93.0871880000001
2018,151,Gabon,2.383356,2.410413
2018,151,West Bank and Gaza Strip,281.212926,294.264472
2018,151,Namibia,6.107745,6.108607
2018,151,Ghana,113.953095,118.419364
2018,151,Malawi,62.448706,66.918339
2018,151,Burundi,34.698616,36.063117
2018,151,Kenya,304.627084,317.20698
2018,151,Myanmar,204.223926,214.181648
2018,151,Algeria,21.195053,21.002558
2018,151,Argentina,7.168519,7.513472
2018,151,Dominican Republic,23.757084,25.107823
2018,151,Albania,63.070672,64.861712
2018,151,Sierra Leone,51.637759,52.41019
2018,151,Ecuador,16.060585,16.7514
2018,151,Nicaragua,39.355174,41.586081
2018,151,Bosnia and Herzegovina,77.464936,80.6565270000001
2018,151,Kazakhstan,10.191622,10.908646
2018,151,Liberia,86.5847190000001,94.141662
2018,151,Panama,4.602614,4.877455
2018,151,Maldives,2.381031,2.407203
2018,151,Eswatini,5.606963,5.726437
2018,151,Lebanon,93.315086,97.862544
2018,151,Lesotho,8.892749,9.126365
2018,151,Bolivia,48.910534,49.548253
2018,151,Chad,42.011706,43.264787
2018,151,Sao Tome and Principe,5.399065,5.558288
2018,151,Mongolia,31.013119,31.876865
2018,151,Türkiye,255.514385,253.91248
2018,151,Armenia,43.617995,45.076454
2018,151,Moldova,72.694412,75.652424
2018,151,Bhutan,20.8637,21.206218
2018,151,Malaysia,5.003838,5.360783
2018,151,Thailand,17.555068,18.324678
2018,151,Zimbabwe,100.973794,105.932243
2018,151,South Sudan,79.775049,86.883985
2018,151,Azerbaijan,14.155108,14.930407
2018,151,Papua New Guinea,276.745037,295.800969
2018,151,Turkmenistan,4.054245,4.227875
2018,151,Syrian Arab Republic,76.130489,79.163834
2018,151,Equatorial Guinea,1.641743,1.687797
2018,151,Afghanistan,1136.337964,1188.434752
2018,151,Pakistan,270.161392,287.659347
2018,151,States Ex-Yugoslavia unspecified,1.267603,1.444992
2018,151,Montenegro,25.935293,26.069087
2018,151,"South America, regional",113.317151,114.251071
2018,151,"Africa, regional",542.844677,545.095588
2018,151,"Central Asia, regional",23.311604,24.191575
2018,151,Lao People's Democratic Republic,47.772402,46.445891
2018,151,"Europe, regional",365.144412,373.023148
2018,151,"South & Central Asia, regional",12.186188,12.662102
2018,151,Iran,8.222528,8.336098
2018,151,"North of Sahara, regional",29.631703,30.581506
2018,151,Libya,55.967886,58.567386
2018,151,Marshall Islands,1.39815,1.475185
2018,151,Cabo Verde,2.40532,2.425925
2018,151,Fiji,17.029872,17.705193
2018,151,Tonga,23.96926,25.469056
2018,151,Guinea-Bissau,16.699458,16.951805
2018,151,Antigua and Barbuda,0.836939,0.866941
2018,151,"America, regional",90.766124,94.202964
2018,151,Jamaica,31.104039,32.686071
2018,151,"Far East Asia, regional",13.805021,14.949861
2018,151,Samoa,11.79018,12.651015
2018,151,Cook Islands,0.250467,0.268708
2018,151,Grenada,10.979626,11.399363
2018,151,"Oceania, regional",44.12158,45.294146
2018,151,Saint Vincent and the Grenadines,0.356621,0.369532
2018,151,Solomon Islands,53.27867,57.46276
2018,151,Saint Lucia,0.529939,0.52723
2018,151,Vanuatu,12.573932,13.687712
2018,151,"South Asia, regional",36.00104,36.167048
2018,151,Micronesia,0.874864,0.941675
2018,151,Guyana,6.256559,6.584903
2018,151,Dominica,0.350141,0.336145
2018,151,Belize,0.788479,0.814182
2018,151,Montserrat,13.785489,14.358443
2018,151,"Caribbean, regional",25.26141,27.69197
2018,151,Saint Helena,11.272307,11.738044
2018,151,"Middle Africa, regional",15.483544,16.127074
2018,151,Democratic People's Republic of Korea,5.627591,6.072288
2018,151,Niue,0.384354,0.401679
2018,151,Palau,0.286959,0.302544
2018,151,Kiribati,7.989321,8.433855
2018,151,Nauru,4.311399,4.709184
2018,151,Tuvalu,5.66641,5.918864
2018,151,Tokelau,0.29175,0.304832
2018,151,Suriname,0.412201,0.420314
2018,151,Wallis and Futuna,22.489727,21.798068
2019,151,Bolivia,42.315793,44.404142
2019,151,Uganda,190.075875,202.857452
2019,151,"Bilateral, unspecified",2257.94656499999,2400.265542
2019,151,"Central Asia, regional",37.72012,40.820981
2019,151,Albania,72.6972810000001,75.983857
2019,151,Bosnia and Herzegovina,133.875348,138.394986
